istasyon_adi,lat,lon,brand,has_lpg,has_charge
AZİMLİ TİCARET PETROL ÜRÜNLERİ GIDA VE SANAYİ LİMİTED ŞİRKETİ,39.0093,34.7682,Alpet,True,False
UFUK KIZILTEPE,38.188991,28.669281,Alpet,True,False
TOLU AKARYAKIT YAPI İNŞAAT NAKLİYAT PETROL ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.695141,35.120705,Alpet,False,False
MAHMUT DAĞAÇIKAN,36.7142,37.1252,Alpet,True,False
BAŞKURT AKARYAKIT PETROL ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.085,29.6821,Alpet,False,False
AZİMLİ TİCARET PETROL ÜRÜNLERİ GIDA VE SANAYİ LİMİTED ŞİRKETİ,38.9826,34.8905,Alpet,True,False
ALGÜL AKARYAKIT GIDA TEKSTİL KUYUMCULUK CAFETARYA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.173649,36.73365,Alpet,True,False
TOKAT ÇİĞDEM GIDA PETROL İNŞAAT OTOMOTİV LOJİSTİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.0191,29.685278,Alpet,False,False
ALPET İSTASYON İŞLETMELERİ ANONİM ŞİRKETİ,41.6154,32.3239,Alpet,True,False
KİBYRA AKARYAKIT TURİZM OTOMOTİV İNŞAAT TARIM GIDA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.1598,29.524,Alpet,True,False
BEYKONAK PETROL SANAYİ TİCARET LİMİTED ŞİRKETİ,36.34261,30.32552,Alpet,True,False
NADİR AKARYAKIT SANAYİ TİCARET LİMİTED ŞİRKETİ,37.1102,36.8785,Alpet,True,False
TOLU AKARYAKIT YAPI İNŞAAT NAKLİYAT PETROL ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.80947,35.222371,Alpet,True,False
ÜÇYILDIZ ENERJİ AKARYAKIT TURİZM TİCARET SANAYİ LİMİTED ŞİRKETİ,41.689068,32.363171,Alpet,True,False
KAANHAN PETROL NAKLİYE TURİZM HAYVANCILIK VE TARIM ÜRÜNLERİ PAZARLAMA SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.218862,28.292166,Alpet,True,False
ASOİL GRUP PETROL ÜRÜNLERİ İNŞAAT İTHALAT SANAYİ VE TİCARET LİMİTED ŞİRKETİ,39.518,26.9867,Alpet,True,False
PERENLER PETROL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.786563,27.670618,Alpet,True,False
SAĞINÇ KÖY POMPASI,37.979469,28.441532,Alpet,False,False
İSMAİL ŞAHİN,37.789233,36.434084,Alpet,True,False
