istasyon_adi,lat,lon,brand
RAN PET PETROL GIDA TAŞIMACILIK MADENCİLİK İNŞAAT SANAYİ VE TİCARET ANONİM ŞİRKETİ,37.18027778,37.27638889,Alpet
OKUYUCU PETROL ÜRÜNLERİ NAKLİYAT GIDA TEKSTİL SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.052895,37.420887,Alpet
DÖN-PET OĞULLARI PETROL ÜR. SANAYİ ve TİCARET LİMİTED ŞİRKETİ,38.258034,36.219086,Alpet
41 MEHMETÇİK PETROL OTOMOTİV NAKLİYAT İNŞAAT GIDA TURİZM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,37.090992,37.400623,Alpet
BEYKONAK PETROL SANAYİ TİCARET LİMİTED ŞİRKETİ,38.66402,27.4504,Alpet
GÖKKAYA PETROL ÜRÜNLERİ OTOMOTİV TARIM VE HAYVANCILIK İNŞAAT SANİYE LİMİTED ŞİRKETİ,39.5963,34.9814,Alpet
TOLU AKARYAKIT YAPI İNŞAAT NAKLİYAT PETROL ÜRÜNLERİ SANAYİ VE TİCARET LİMİTED ŞİRKETİ,38.6462,35.9542,Alpet
ÇETİNKAYA PETROL ÜRÜNLERİ DAĞITIM PAZARLAMA GIDA İNŞAAT TURİZM TAŞIMACILIK MADENCİLİK SANAYİ VE TİCARET LİMİTED ŞİRKETİ,39.858601,26.173225,Alpet
ÇAĞLIYANLAR AKARYAKIT ÜRÜNLERİ İNŞAAT TAAHHÜT İNŞAAT MALZEMELERİ TAŞIMACILIK GIDA TARIM VE HAYVANCILIK SANAYİ TİCARET LİMİTED ŞİRKETİ,38.634296,27.392271,Alpet
KUMRU PETROL AKARYAKIT HAFRİYAT BETON LİMİTED ŞİRKETİ,39.803989,26.213209,Alpet
ALTUN PETROL TARIM ÜRÜNLERİ KATI YAKIT İNŞAAT TAAHHÜT OTOMOBİL KUYUMCULUK İMALAT PAZARLAMA SANAYİ TİCARET VE NAKLİYAT LİMİTED ŞİRKETİ,38.856956,35.788342,Alpet
HAKAN YÜCELSOY,39.829025,34.8344,Alpet
